Epoch,Tm(BJD),sigma_Tm
1340,2459393.512591109,0.0009697182217069676
1341,2459396.3126003514,0.001525599197718482
1342,2459399.1087918384,0.0010667925454374851
1343,2459401.9042956233,0.0009668171015917471
1345,2459407.5006139553,0.0009351439483355111
1346,2459410.295082015,0.0015437865909160024
1347,2459413.0934963,0.0010451238248064118
1348,2459415.890078993,0.0010295898290836663
