# using detrend by Eb & flatten (window_length=101) 
Epoch_Athano,Epoch,Tm,sigma_Tm,src_flg
1527,1197,2459913.836795159,0.0010054895176209483,TESS Sector 59
1528,1198,2459916.632431409,0.0009013752461403078,TESS Sector 59
1529,1199,2459919.431464301,0.0009679589223894557,TESS Sector 59
1530,1200,2459922.2298541637,0.0009094761106469071,TESS Sector 59
1532,1202,2459927.823611213,0.0009504030869514749,TESS Sector 59
1533,1203,2459930.622940862,0.0009871678208138973,TESS Sector 59
1534,1204,2459933.418796414,0.000968336318049361,TESS Sector 59
