Epoch,Tm,sigma_Tm
1476,2459771.17828936,0.0017072650035044549
1477,2459773.96416329,0.0012497081810388568
1478,2459776.7566194246,0.0017537373906680866
# 1480,2459785.1548968498,0.001038678861676919
# 1481,2459787.9551414335,0.0014746387924288212
# 1482,2459790.7519647516,0.0021374596430973466
