#, ,E,r,r,o,r, ,h,a,s, ,b,e,e,n, ,m,u,l,t,i,p,l,i,e,d, ,b,y, ,1,0,0,0, ,t,o, ,b,e, ,o,n, ,s,a,m,e, ,o,r,d,e,r, ,o,f, ,m,a,g,n,i,t,u,d,e, ,a,s, ,E,l,i,s,a,b,e,t,h,',s
Epoch,Tm,sigma_Tm
1341.0,2459393.5122721815,0.0011005870338086268
1342.0,2459396.313506678,0.001050754834850508
1343.0,2459399.1088504805,0.0010010217669784625
1344.0,2459401.9047406213,0.0008214688966098851
1346.0,2459407.4996828726,0.0009462639587107184
1347.0,2459410.29713043,0.001019952731055122
1348.0,2459413.094040883,0.0008544307316832923
1349.0,2459415.8908872437,0.0009638045343558584
1351.0,2459421.485168906,0.0010310111966035295
1352.0,2459424.285862825,0.0010167667614604384
1353.0,2459427.0817550113,0.0009335055908285879
1354.0,2459429.8814441278,0.0009367358616001241
1356.0,2459435.4759344114,0.0009224117869933001
1357.0,2459438.2714477913,0.0009795875764136383
1358.0,2459441.070372041,0.00096958959331283
1359.0,2459443.8665511054,0.0009491238970759527
1469.0,2459751.586545886,0.0014487182051224623
1470.0,2459754.38574297,0.0010596810427804053
1473.0,2459762.777030008,0.0017259622519918217
1474.0,2459765.5719695613,0.0011169142095216599
1476.0,2459771.1680057403,0.0008970046704019134
1477.0,2459773.9629338356,0.001128029098928824
1478.0,2459776.7601361964,0.0016655359420671304
1481.0,2459785.153074101,0.0008563592169346503
1482.0,2459787.949962169,0.0011382387836106245
1483.0,2459790.7533505647,0.001674683403467942
1486.0,2459799.14311864,0.0010738549800734629
1487.0,2459801.939125191,0.0010403214069771383
1488.0,2459804.738674948,0.000983351023792302
1491.0,2459813.1298116283,0.0008463690492699455
1492.0,2459815.928184563,0.0009096345673147476
1493.0,2459818.7259974927,0.0009919830320174483
1730.0,2460481.7194874743,0.0011074813562034068
1731.0,2460484.5156066976,0.0010197049439406411
1735.0,2460495.704187096,0.0009541721859594629
1736.0,2460498.4995160154,0.001069886738374946
1749.0,2460534.8681693804,0.0006841904278879579
1750.0,2460537.6637709728,0.0006738330704834862
1751.0,2460540.4647949785,0.0006500562090707127
1752.0,2460543.260574711,0.0006465507024937948
1753.0,2460546.058904357,0.0006982906858934199
1754.0,2460548.856057051,0.0006331937442214757
1755.0,2460551.6533672414,0.0006402499750167728
1756.0,2460554.451378144,0.0006644347234321805
1757.0,2460557.2467533643,0.0007068008586933536
