Tm,sigma_Tm,src_flg
2460797.82822,0.00285,SuPerPiG
2460797.824697,0.003264,SuPerPiG
2460797.83009,0.001327802,Bruneau
2460839.791535,0.004167,SuPerPiG
2460867.772526,0.003056,SuPerPiG
# 2460867.786832,0.002847,SuPerPiG
# 2460881.770792,0.002569,SuPerPiG
