BTJD, Flux, Flux_err
2769.9008966152223 , 0.9957665 , 0.0033252086
2769.9022855102226 , 0.98693854 , 0.0033181005
2769.9036744052232 , 0.9917422 , 0.0033205824
2769.9050633001066 , 0.98846483 , 0.0033162904
2769.906452194991 , 0.99279773 , 0.003323374
2769.907841089875 , 0.9851855 , 0.003314346
2769.9092299847584 , 0.9900768 , 0.0033195352
2769.9106188796422 , 0.9865821 , 0.0033131815
2769.9120077745265 , 0.9917868 , 0.0033217072
2769.9133966694103 , 0.9867329 , 0.003320985
2769.9147855641777 , 0.99314076 , 0.0033252283
2769.916174459062 , 0.9879615 , 0.0033218623
2769.9175633538293 , 0.99212134 , 0.0033201734
2769.9189522487127 , 0.9888858 , 0.0033225662
2769.920341143481 , 0.99777186 , 0.0033274344
2769.9217300382484 , 0.9940083 , 0.0033251063
2769.9231189330144 , 0.99041384 , 0.0033191063
2769.924507827782 , 0.9908861 , 0.0033203126
2769.925896722549 , 0.9879951 , 0.0033168208
2769.9272856172 , 0.9912097 , 0.0033240546
2769.928674511968 , 0.98702365 , 0.0033187564
2769.930063406619 , 0.98430103 , 0.0033122348
2769.931452301386 , 0.99203 , 0.0033197885
2769.9328411960378 , 0.9869527 , 0.0033148667
2769.934230090805 , 0.98437506 , 0.003314131
2769.9356189854557 , 0.9888374 , 0.00331873
2769.937007880107 , 0.9852778 , 0.0033151135
2769.938396774758 , 0.98599774 , 0.003312835
2769.939785669409 , 0.9907387 , 0.0033222015
2769.941174563944 , 0.9875898 , 0.00331557
2769.9425634585946 , 0.98252577 , 0.0033091353
2769.943952353246 , 0.98212314 , 0.00330891
2769.945341247781 , 0.9846153 , 0.0033136476
2769.9467301424315 , 0.9796392 , 0.0033146227
2769.9481190369656 , 0.98010826 , 0.003307126
2769.9495079314997 , 0.98446023 , 0.0033124068
2769.9508968260343 , 0.9811068 , 0.0033100257
2769.952285720569 , 0.98542804 , 0.0033134404
2769.953674615104 , 0.9782812 , 0.0033015157
2769.955063509638 , 0.977603 , 0.0033062291
2769.956452404173 , 0.9793239 , 0.003306821
2769.9578412985916 , 0.9826886 , 0.0033119402
2769.9592301931257 , 0.9860607 , 0.0033106012
2769.960619087544 , 0.98377705 , 0.0033127016
2769.962007982079 , 0.97247076 , 0.003296861
2769.963396876498 , 0.9849779 , 0.0033141538
2769.9647857709156 , 0.9768151 , 0.0033009173
2769.9661746653337 , 0.9718202 , 0.00329461
2769.9675635597523 , 0.9786129 , 0.0033021192
2769.9689524541704 , 0.9783728 , 0.0033033642
2769.9703413485886 , 0.9790895 , 0.003301531
2769.9717302430067 , 0.97324747 , 0.0032945783
2769.9731191374235 , 0.973869 , 0.0032957883
2769.9745080317252 , 0.97511375 , 0.0032983148
2769.9758969261443 , 0.9707451 , 0.0032917275
2769.9772858204456 , 0.9752176 , 0.0032954083
2769.9786747147473 , 0.97047234 , 0.00329087
2769.980063609166 , 0.978104 , 0.0033030552
2769.9814525034676 , 0.9709295 , 0.0032914656
2769.982841397769 , 0.973471 , 0.0032955543
2769.9842302920715 , 0.97251284 , 0.0032912644
2769.9856191863732 , 0.97107816 , 0.003289848
2769.9870080806745 , 0.9700425 , 0.0032881366
2769.9883969748603 , 0.9702128 , 0.0032921818
2769.9897858691625 , 0.9759694 , 0.00329649
2769.9911747633473 , 0.97200054 , 0.0032913021
2769.9925636576495 , 0.96464205 , 0.0032822934
2769.9939525518344 , 0.97050226 , 0.0032861533
2769.9953414461356 , 0.9695296 , 0.0032854131
2769.996730340321 , 0.96486115 , 0.0032823065
2769.9981192345062 , 0.96487385 , 0.0032845484
2769.999508128691 , 0.97322315 , 0.0032965054
2770.000897022877 , 0.9681133 , 0.0032855684
2770.0022859170626 , 0.9645148 , 0.0032795395
2770.0036748112475 , 0.969403 , 0.0032877221
2770.005063705317 , 0.96314526 , 0.003276629
2770.0064525995017 , 0.9680667 , 0.0032842506
2770.0078414936875 , 0.9598514 , 0.0032757395
2770.009230387757 , 0.9619109 , 0.003279848
2770.0106192818253 , 0.96600825 , 0.0032811025
2770.0120081760106 , 0.96675634 , 0.0032838965
2770.0133970700804 , 0.96346724 , 0.0032819614
2770.014785964149 , 0.9638665 , 0.003278426
2770.0161748582177 , 0.9647189 , 0.0032852928
2770.017563752287 , 0.9609524 , 0.0032748946
2770.018952646355 , 0.96083605 , 0.0032749712
2770.0203415404235 , 0.9732994 , 0.0032924926
2770.021730434493 , 0.9692632 , 0.0032878725
2770.023119328562 , 0.9704191 , 0.0032899159
2770.024508222514 , 0.96681166 , 0.003283141
2770.0258971165836 , 0.9674599 , 0.003286538
2770.0272860105365 , 0.9702188 , 0.0032889254
2770.028674904605 , 0.9640638 , 0.0032817428
2770.0300637985574 , 0.9644743 , 0.003282564
2770.0314526925104 , 0.9659621 , 0.0032858604
2770.032841586463 , 0.9706885 , 0.0032883098
2770.0342304804153 , 0.9708487 , 0.0032891766
2770.0356193743683 , 0.9671984 , 0.0032834287
2770.0370082683207 , 0.9654475 , 0.0032849219
2770.0383971622728 , 0.9769298 , 0.0032961634
2770.039786056226 , 0.9711588 , 0.0032914637
2770.0411749501786 , 0.9755279 , 0.0032974365
2770.0425638440142 , 0.9707343 , 0.0032917245
2770.0439527379663 , 0.97259545 , 0.0032917894
2770.045341631802 , 0.9752487 , 0.0033081318
2770.0467305257544 , 0.9706271 , 0.003291047
2770.048119419591 , 0.97554505 , 0.0032996049
2770.0495083135434 , 0.9752627 , 0.0032975797
2770.050897207379 , 0.97537357 , 0.0032944728
2770.052286101216 , 0.9797978 , 0.003299924
2770.053674995052 , 0.978266 , 0.0033024536
2770.0550638888876 , 0.97474515 , 0.0032943208
2770.056452782724 , 0.97823405 , 0.0033011704
2770.05784167656 , 0.98220456 , 0.0033060263
2770.0592305703963 , 0.97488916 , 0.003298585
2770.0606194641164 , 0.97138673 , 0.00329275
2770.062008357952 , 0.9754179 , 0.0032992242
2770.0633972517885 , 0.9769022 , 0.0033003297
2770.0647861455086 , 0.98344624 , 0.0033087211
2770.066175039344 , 0.9892945 , 0.0033161244
2770.0675639330634 , 0.97817683 , 0.0033003166
2770.0689528267826 , 0.98328644 , 0.0033080007
2770.0703417206187 , 0.9806422 , 0.0033076445
2770.0717306143383 , 0.98490965 , 0.0033108355
2770.0731195080584 , 0.9783618 , 0.0033048282
2770.0745084017776 , 0.9782532 , 0.0033080827
2770.0758972954977 , 0.9819969 , 0.0033035304
2770.077286189218 , 0.9817678 , 0.0033073544
2770.078675082937 , 0.97971874 , 0.0033067707
2770.0800639766567 , 0.9819174 , 0.0033111307
2770.0814528702604 , 0.9873042 , 0.003318362
2770.082841763981 , 0.98081285 , 0.0033087218
2770.0842306577 , 0.988481 , 0.0033225517
2770.0856195513034 , 0.98481137 , 0.0033180853
2770.0870084450235 , 0.9898974 , 0.0033184541
2770.0883973386267 , 0.99181086 , 0.0033206597
2770.08978623223 , 0.98679495 , 0.003312811
2770.0911751259496 , 0.98365146 , 0.0033156085
2770.0925640195514 , 0.98774374 , 0.0033163687
2770.0939529131547 , 0.9856943 , 0.0033139
2770.095341806759 , 0.98566973 , 0.00331495
2770.0967307003616 , 0.9903281 , 0.003321673
2770.098119593965 , 0.985965 , 0.0033120206
2770.0995084875685 , 0.9835842 , 0.003312444
2770.1008973811718 , 0.98930234 , 0.0033180781
2770.1022862747745 , 0.98649585 , 0.0033168236
2770.1036751683787 , 0.9897404 , 0.0033163305
2770.1050640618655 , 0.9835915 , 0.0033118103
2770.1064529554683 , 0.9876162 , 0.003324044
2770.1078418489556 , 0.9899758 , 0.0033184486
2770.1092307425592 , 0.98459655 , 0.0033148197
2770.1106196360456 , 0.9909343 , 0.0033194993
2770.1120085296493 , 0.9893707 , 0.0033182523
2770.113397423136 , 0.9935281 , 0.003323226
2770.114786316623 , 0.98661005 , 0.0033190174
2770.1161752102257 , 0.98968637 , 0.0033173217
2770.117564103712 , 0.9852758 , 0.0033165882
2770.1189529971984 , 0.98938805 , 0.003318722
2770.1203418906857 , 0.99401057 , 0.0033256249
2770.121730784173 , 0.9926047 , 0.003320617
2770.1231196776594 , 0.9920909 , 0.0033196167
2770.1245085711466 , 0.98467684 , 0.0033133484
2770.125897464633 , 0.99020135 , 0.0033200772
2770.127286358004 , 0.9858204 , 0.0033130276
2770.128675251491 , 0.9864473 , 0.0033166355
2770.1300641449775 , 0.9830224 , 0.0033104874
2770.131453038348 , 0.99659175 , 0.0033290586
2770.1328419318356 , 0.9894051 , 0.0033166835
2770.1342308252056 , 0.99120927 , 0.0033199135
2770.1356197186924 , 0.98965037 , 0.0033171775
2770.1370086120633 , 0.9853642 , 0.0033169605
2770.13839750555 , 0.983643 , 0.0033118206
2770.1397863989196 , 0.9920244 , 0.0033250372
2770.14117529229 , 0.98304087 , 0.0033118143
2770.14256418566 , 0.9840786 , 0.0033129393
2770.1439530790303 , 0.9846197 , 0.003316352
2770.145341972518 , 0.98875946 , 0.0033186302
2770.146730865889 , 0.9874025 , 0.0033157025
2770.148119759259 , 0.9859529 , 0.0033138816
2770.149508652513 , 0.9881185 , 0.0033160471
2770.1508975458837 , 0.9813391 , 0.0033085032
2770.152286439254 , 0.9870364 , 0.0033161838
2770.1536753326245 , 0.99069977 , 0.003317828
2770.1550642259954 , 0.98812723 , 0.0033160646
2770.1564531192494 , 0.9854089 , 0.003319174
2770.1578420126193 , 0.98362005 , 0.0033090913
2770.1592309059906 , 0.9820898 , 0.0033082406
2770.1606197992446 , 0.9840721 , 0.0033103335
2770.1620086926146 , 0.9857602 , 0.0033169405
2770.163397585868 , 0.9845021 , 0.00331201
2770.1647864791216 , 0.9828072 , 0.0033120268
2770.166175372492 , 0.9841523 , 0.0033104022
2770.1675642657465 , 0.97479564 , 0.0033015478
2770.1689531590005 , 0.9839138 , 0.0033102666
2770.1703420523704 , 0.97493285 , 0.0032999935
2770.1717309456253 , 0.9812699 , 0.003305574
2770.1731198388793 , 0.97787184 , 0.0033026314
2770.174508732133 , 0.9818626 , 0.0033062256
2770.1758976253873 , 0.97544396 , 0.003300744
2770.1772865186413 , 0.9800329 , 0.0033051197
2770.1786754118953 , 0.98026466 , 0.003306701
2770.1800643051497 , 0.977088 , 0.003300876
2770.1814531984032 , 0.9782623 , 0.0033004002
2770.1828420916577 , 0.9786437 , 0.0033028107
2770.1842309847957 , 0.9823108 , 0.0033046664
2770.1856198780492 , 0.97913086 , 0.0033010796
2770.187008771303 , 0.9773877 , 0.0033016142
2770.188397664441 , 0.9802728 , 0.0033017658
2770.189786557694 , 0.97343254 , 0.0032939066
2770.1911754508315 , 0.979269 , 0.0033020705
2770.192564344086 , 0.9763437 , 0.003297044
2770.193953237223 , 0.9769881 , 0.0032973788
2770.1953421304775 , 0.9742611 , 0.0032945191
2770.1967310236155 , 0.97521305 , 0.0032953785
2770.198119916869 , 0.97756994 , 0.0032993648
2770.1995088100066 , 0.97447014 , 0.0032917387
2770.2008977031446 , 0.97396845 , 0.0032937245
2770.202286596282 , 0.97507364 , 0.0032977203
2770.203675489536 , 0.96647257 , 0.0032852278
2770.205064382674 , 0.97146666 , 0.0032899657
2770.2064532758122 , 0.9685648 , 0.0032867033
2770.20784216895 , 0.96742684 , 0.0032848946
2770.2092310620874 , 0.9699941 , 0.0032891934
2770.2106199552254 , 0.9670508 , 0.0032858725
2770.212008848362 , 0.97431207 , 0.003291526
2770.2133977414987 , 0.9657596 , 0.0032805589
2770.214786634637 , 0.9727182 , 0.0032898868
2770.216175527658 , 0.9695845 , 0.003286065
2770.2175644207955 , 0.96986985 , 0.0032876236
2770.2189533139335 , 0.9701099 , 0.0032850448
2770.220342207071 , 0.97054327 , 0.003286753
2770.2217311000923 , 0.964754 , 0.003279071
2770.2231199932303 , 0.96211666 , 0.0032752384
2770.224508886368 , 0.9637192 , 0.0032741781
2770.2258977793886 , 0.9655977 , 0.0032786212
2770.2272866725266 , 0.967522 , 0.0032799721
2770.228675565548 , 0.9627847 , 0.0032779775
2770.2300644586853 , 0.97412425 , 0.0032914379
2770.231453351707 , 0.958015 , 0.0032767798
2770.232842244728 , 0.9721736 , 0.003288774
